Package Name,Version,Official Link,Creator,Creator Profile Link,Description
@adora-so/adora-js,0.1.94,https://www.npmjs.com/package/@adora-so/adora-js,george-adora,https://www.npmjs.com/~george-adora,Adora JavaScript SDK
@openrewrite/rewrite,8.81.0,https://www.npmjs.com/package/@openrewrite/rewrite,zieka,https://www.npmjs.com/~zieka,OpenRewrite JavaScript.
postcss-functions,4.0.2,https://www.npmjs.com/package/postcss-functions,andyjansson,https://www.npmjs.com/~andyjansson,PostCSS plugin for exposing JavaScript functions
youch,4.1.1,https://www.npmjs.com/package/youch,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Pretty print JavaScript errors on the Web and the Terminal
merge-deep,3.0.3,https://www.npmjs.com/package/merge-deep,doowb,https://www.npmjs.com/~doowb,Recursively merge values in a javascript object.
o3,1.0.3,https://www.npmjs.com/package/o3,inf3rno,https://www.npmjs.com/~inf3rno,o3 - Javascript Class Framework
javascript-playgrounds,1.2.8,https://www.npmjs.com/package/javascript-playgrounds,dabbott,https://www.npmjs.com/~dabbott,Interactive JavaScript sandbox
rsocket-flowable,0.0.29-alpha.0,https://www.npmjs.com/package/rsocket-flowable,viglucci,https://www.npmjs.com/~viglucci,ReactiveStreams for JavaScript
@tensorflow/tfjs-backend-cpu,4.22.0,https://www.npmjs.com/package/@tensorflow/tfjs-backend-cpu,delhibabu,https://www.npmjs.com/~delhibabu,Vanilla JavaScript backend for TensorFlow.js
bwip-js,4.10.1,https://www.npmjs.com/package/bwip-js,bwip-js,https://www.npmjs.com/~bwip-js,JavaScript barcode generator supporting over 100 types and standards.
ffjavascript,0.3.1,https://www.npmjs.com/package/ffjavascript,obrezhniev,https://www.npmjs.com/~obrezhniev,Finite Field Library in Javascript
styleq,0.2.1,https://www.npmjs.com/package/styleq,necolas,https://www.npmjs.com/~necolas,A quick JavaScript runtime for Atomic CSS compilers.
@descope/core-js-sdk,2.59.1,https://www.npmjs.com/package/@descope/core-js-sdk,omercnet,https://www.npmjs.com/~omercnet,Descope JavaScript core SDK
@wojtekmaj/enzyme-adapter-react-17,0.8.0,https://www.npmjs.com/package/@wojtekmaj/enzyme-adapter-react-17,wojtekmaj,https://www.npmjs.com/~wojtekmaj,JavaScript Testing utilities for React
is-identifier,1.0.1,https://www.npmjs.com/package/is-identifier,sindresorhus,https://www.npmjs.com/~sindresorhus,Check if a string is a valid JavaScript identifier
dijkstrajs,1.0.3,https://www.npmjs.com/package/dijkstrajs,tcort,https://www.npmjs.com/~tcort,A simple JavaScript implementation of Dijkstra's single-source shortest-paths algorithm.
@form8ion/javascript,15.8.3,https://www.npmjs.com/package/@form8ion/javascript,GitHub Actions,https://www.npmjs.com/~GitHub Actions,JavaScript language plugin for the @form8ion toolset
webpack-obfuscator,3.6.1,https://www.npmjs.com/package/webpack-obfuscator,sanex3339,https://www.npmjs.com/~sanex3339,javascript-obfuscator plugin for Webpack@5
v8n,1.5.1,https://www.npmjs.com/package/v8n,bruno02221,https://www.npmjs.com/~bruno02221,Dead simple fluent JavaScript validation library
micromatch,4.0.8,https://www.npmjs.com/package/micromatch,doowb,https://www.npmjs.com/~doowb,Glob matching for javascript/node.js. A replacement and faster alternative to minimatch and multimatch.
rudder-sdk-js,2.52.11,https://www.npmjs.com/package/rudder-sdk-js,GitHub Actions,https://www.npmjs.com/~GitHub Actions,RudderStack JavaScript SDK
